5.693871, 0, 0, 0, 0
5.697158, -0.003924012, 0, 0, 0
5.70373, -0.01177198, 1.7, -0.1, 9.09
5.706408, -0.01497352, 1.7, -0.1, 9.09
5.706943, -0.01561332, 1.62, -0.07, 9.07
5.707473, -0.01574123, 1.62, -0.07, 9.07
5.708282, -0.0157671, 1.62, -0.07, 9.07
5.709393, -0.01577258, 1.62, -0.07, 9.07
5.710781, -0.01577389, 1.62, -0.07, 9.07
5.712418, -0.01577413, 1.62, -0.07, 9.07
5.714283, -0.01577425, 1.62, -0.07, 9.07
5.716352, -0.01577413, 1.62, -0.07, 9.07
5.71861, -0.01577401, 1.62, -0.07, 9.07
5.721035, -0.01577401, 1.62, -0.07, 9.07
5.723615, -0.01577401, 1.12, -0.11, 9.3
5.726334, -0.01577395, 1.12, -0.11, 9.3
5.729195, -0.01577407, 1.12, -0.11, 9.3
5.732182, -0.01577401, 1.12, -0.11, 9.3
5.735292, -0.01577401, 1.12, -0.11, 9.3
5.738515, -0.01577401, 1.12, -0.11, 9.3
5.741845, -0.01577401, 1.96, 1.29, 9.72
5.745277, -0.01577401, 1.96, 1.29, 9.72
5.748885, -0.01577401, 1.96, 1.29, 9.72
5.752659, -0.01577401, 1.96, 1.29, 9.72
5.75659, -0.01577401, 1.96, 1.29, 9.72
5.760666, -0.01577401, 1.88, -0.09, 8.9
5.764882, -0.01577401, 1.88, -0.09, 8.9
5.769146, -0.01577401, 1.88, -0.09, 8.9
5.773465, -0.01577401, 1.88, -0.09, 8.9
5.777839, -0.01577401, 1.88, -0.09, 8.9
5.782271, -0.01577401, 1.88, -0.09, 8.9
5.786764, -0.01577401, 1.86, -0.05, 8.92
5.791315, -0.01577401, 1.86, -0.05, 8.92
5.795906, -0.01577401, 1.86, -0.05, 8.92
5.800534, -0.01577401, 1.86, -0.05, 8.92
5.805203, -0.01577401, 1.86, -0.05, 8.92
5.809914, -0.01577401, 1.86, -0.05, 8.92
5.814663, -0.01577401, 1.68, -0.04, 8.98
5.819463, -0.01577401, 1.68, -0.04, 8.98
5.824317, -0.01577401, 1.68, -0.04, 8.98
